IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.27.81.238,4,4,0.00,219.00,0.00
104.23.134.121,4,4,0.00,219.05,0.00
104.20.164.126,4,4,0.00,219.11,0.00
104.20.192.124,4,4,0.00,219.18,0.00
104.25.171.18,4,4,0.00,219.24,0.00
104.23.138.12,4,4,0.00,219.24,0.00
104.24.253.133,4,4,0.00,219.45,0.00
104.27.58.121,4,4,0.00,219.49,0.00
104.27.24.182,4,4,0.00,219.51,0.00
104.27.103.104,4,4,0.00,219.53,0.00
104.27.19.228,4,4,0.00,219.54,0.00
104.27.200.202,4,4,0.00,219.54,0.00
104.27.32.225,4,4,0.00,219.58,0.00
104.22.69.4,4,4,0.00,219.61,0.00
104.25.236.117,4,4,0.00,219.65,0.00
104.20.127.40,4,4,0.00,219.72,0.00
104.25.30.36,4,4,0.00,219.90,0.00
104.24.237.89,4,4,0.00,219.90,0.00
104.24.81.113,4,4,0.00,219.97,0.00
104.20.213.130,4,4,0.00,220.00,0.00
104.27.9.198,4,4,0.00,220.03,0.00
104.24.247.247,4,4,0.00,220.06,0.00
104.24.72.166,4,4,0.00,220.12,0.00
104.20.215.156,4,4,0.00,220.15,0.00
104.24.195.215,4,4,0.00,220.24,0.00
104.24.38.200,4,4,0.00,220.25,0.00
104.24.203.179,4,4,0.00,220.31,0.00
104.25.89.17,4,4,0.00,220.58,0.00
104.24.160.205,4,4,0.00,220.59,0.00
104.25.128.129,4,4,0.00,220.62,0.00
104.24.199.131,4,4,0.00,220.81,0.00
104.20.239.217,4,4,0.00,220.91,0.00
104.24.159.148,4,4,0.00,220.96,0.00
104.24.182.59,4,4,0.00,220.98,0.00
104.25.11.119,4,4,0.00,221.01,0.00
104.25.94.222,4,4,0.00,221.43,0.00
104.25.24.46,4,4,0.00,221.48,0.00
104.22.38.153,4,4,0.00,221.51,0.00
104.24.7.53,4,4,0.00,221.59,0.00
104.26.7.232,4,4,0.00,221.63,0.00
104.22.34.183,4,4,0.00,221.66,0.00
104.20.48.103,4,4,0.00,221.68,0.00
104.26.8.149,4,4,0.00,221.88,0.00
104.20.34.22,4,4,0.00,221.91,0.00
104.25.255.106,4,4,0.00,221.94,0.00
104.20.135.216,4,4,0.00,222.04,0.00
104.24.74.66,4,4,0.00,222.12,0.00
104.27.108.8,4,4,0.00,222.17,0.00
104.24.216.140,4,4,0.00,222.19,0.00
104.25.19.113,4,4,0.00,222.30,0.00
104.20.212.118,4,4,0.00,222.35,0.00
104.27.33.53,4,4,0.00,222.38,0.00
104.27.14.45,4,4,0.00,222.40,0.00
104.24.77.225,4,4,0.00,222.55,0.00
104.27.112.71,4,4,0.00,222.57,0.00
104.20.147.136,4,4,0.00,222.57,0.00
104.24.6.185,4,4,0.00,222.58,0.00
104.27.3.114,4,4,0.00,222.59,0.00
104.25.126.66,4,4,0.00,222.81,0.00
104.22.3.67,4,4,0.00,222.87,0.00
104.20.218.210,4,4,0.00,222.90,0.00
104.24.16.56,4,4,0.00,222.92,0.00
104.24.39.82,4,4,0.00,222.96,0.00
104.25.148.129,4,4,0.00,222.98,0.00
104.27.120.83,4,4,0.00,223.06,0.00
104.27.5.148,4,4,0.00,223.10,0.00
104.26.10.20,4,4,0.00,223.17,0.00
104.20.216.239,4,4,0.00,223.20,0.00
104.20.196.36,4,4,0.00,223.24,0.00
104.26.0.93,4,4,0.00,223.37,0.00
104.25.120.140,4,4,0.00,223.47,0.00
104.25.180.47,4,4,0.00,223.51,0.00
104.24.64.248,4,4,0.00,223.57,0.00
104.24.248.101,4,4,0.00,223.60,0.00
104.27.26.15,4,4,0.00,223.64,0.00
